,Metragem,Quartos,Banheiros,Vagas
0,64m²,2 quartos,"2 banheiros
1 suíte",1 vaga
1,66m²,2 quartos,1 banheiro,Não informado SOLICITAR
2,71m²,2 quartos,1 banheiro,1 vaga
3,180m²,3 quartos,"3 banheiros
1 suíte",2 vagas
4,58m²,2 quartos,"2 banheiros
1 suíte",1 vaga
5,90m²,2 quartos,"3 banheiros
2 suítes",1 vaga
6,66m²,2 quartos,1 banheiro,2 vagas
7,63m²,2 quartos,"2 banheiros
1 suíte",1 vaga
8,220m²,4 quartos,"2 banheiros
2 suítes",4 vagas
9,90m²,2 quartos,"2 banheiros
1 suíte",2 vagas
10,300m²,3 quartos,2 banheiros,2 vagas
11,608m²,Não informado SOLICITAR,Não informado SOLICITAR,Não informado SOLICITAR
12,88m²,2 quartos,"3 banheiros
2 suítes",2 vagas
13,102m²,3 quartos,"2 banheiros
1 suíte",1 vaga
14,119m²,4 quartos,"3 banheiros
1 suíte",2 vagas
15,140m²,3 quartos,3 banheiros,4 vagas
16,550m²,4 quartos,"6 banheiros
4 suítes",5 vagas
17,120m²,3 quartos,"3 banheiros
2 suítes",3 vagas
18,210m²,4 quartos,"5 banheiros
3 suítes",3 vagas
19,97m²,3 quartos,"2 banheiros
1 suíte",2 vagas
20,160m²,3 quartos,"3 banheiros
2 suítes",3 vagas
21,300m²,4 quartos,"4 banheiros
1 suíte",2 vagas
22,550m²,3 quartos,"5 banheiros
3 suítes",4 vagas
23,360m²,4 quartos,3 banheiros,Não informado SOLICITAR
24,222m²,3 quartos,"3 banheiros
2 suítes",5 vagas
25,517m²,Não informado SOLICITAR,Não informado SOLICITAR,Não informado SOLICITAR
26,78m²,2 quartos,"1 banheiro
2 suítes",2 vagas
27,114m²,3 quartos,"3 banheiros
2 suítes",2 vagas
28,330m²,4 quartos,"5 banheiros
4 suítes",4 vagas
29,544m²,3 quartos,"4 banheiros
2 suítes",2 vagas
30,225m²,4 quartos,"4 banheiros
2 suítes",2 vagas
31,110m²,2 quartos,"4 banheiros
2 suítes",2 vagas
32,1260m²,Não informado SOLICITAR,Não informado SOLICITAR,Não informado SOLICITAR
33,107m²,3 quartos,"2 banheiros
1 suíte",2 vagas
34,182m²,5 quartos,"3 banheiros
1 suíte",5 vagas
